epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3063.09,0.92317,0.57439,1.16657,0.91133,0.91822,0.94125,0.72901,0.92471,0.48401,1.10968,0.000530621,0.000530621,0.000530621
57,3117.05,0.92031,0.5717,1.16316,0.90624,0.92119,0.94183,0.72423,0.93206,0.48222,1.11743,0.000525123,0.000525123,0.000525123
58,3170.8,0.91947,0.56537,1.15937,0.91264,0.92266,0.94158,0.72889,0.92128,0.47106,1.11014,0.000519625,0.000519625,0.000519625
59,3224.65,0.91144,0.56471,1.16504,0.88509,0.91881,0.93665,0.71342,0.94364,0.5064,1.154,0.000514128,0.000514128,0.000514128
60,3278.11,0.90766,0.5583,1.15736,0.92356,0.91639,0.94612,0.72744,0.91377,0.46571,1.10093,0.00050863,0.00050863,0.00050863
61,3331.16,0.91148,0.55945,1.15805,0.90876,0.93673,0.94275,0.72204,0.94061,0.47461,1.11898,0.000503132,0.000503132,0.000503132
62,3384.67,0.91155,0.5548,1.15587,0.90437,0.93698,0.9445,0.72686,0.92622,0.47084,1.12834,0.000497634,0.000497634,0.000497634
63,3438.66,0.90372,0.55468,1.15324,0.9133,0.92087,0.94591,0.72722,0.9265,0.46268,1.11832,0.000492136,0.000492136,0.000492136
64,3492.96,0.90019,0.55313,1.15122,0.92471,0.90589,0.93916,0.72493,0.92531,0.4748,1.11893,0.000486639,0.000486639,0.000486639
65,3547.24,0.89725,0.55195,1.15149,0.91212,0.91472,0.93783,0.72234,0.93309,0.47742,1.12584,0.000481141,0.000481141,0.000481141
66,3601.34,0.89388,0.54655,1.14862,0.91657,0.91701,0.93778,0.71959,0.93441,0.48381,1.13319,0.000475643,0.000475643,0.000475643
67,3655.49,0.88682,0.53797,1.14066,0.92309,0.90784,0.93561,0.72172,0.93009,0.48341,1.11746,0.000470145,0.000470145,0.000470145
68,3709.93,0.89323,0.53619,1.14581,0.91335,0.91165,0.93595,0.72445,0.93725,0.48054,1.12725,0.000464647,0.000464647,0.000464647
69,3764.08,0.89142,0.54529,1.1476,0.9025,0.92415,0.94401,0.72204,0.93978,0.47243,1.13338,0.00045915,0.00045915,0.00045915
70,3818.29,0.88332,0.53655,1.1383,0.89947,0.93011,0.94203,0.72981,0.92017,0.47707,1.11672,0.000453652,0.000453652,0.000453652
71,3872.53,0.87485,0.53042,1.13457,0.92407,0.91233,0.9442,0.73446,0.91945,0.46557,1.10484,0.000448154,0.000448154,0.000448154
